question,sentence,label,idx
What did Wiesner shout out in front of the press during a presentation by von Braun?,"Webb jumped in and defended von Braun, until Kennedy ended the squabble by stating that the matter was ""still subject to final review"".",1,1978
"Along with location, endowment and the willingness of parents to pay, what factor influences private school tuition?","High tuition, schools claim, is used to pay higher salaries for the best teachers and also used to provide enriched learning environments, including a low student to teacher ratio, small class sizes and services, such as libraries, science laboratories and computers.",1,5353
Who did Wiesner hire to monitor and second guess NASA's decisions?,"Kennedy's science advisor Jerome Wiesner, who had expressed his opposition to manned spaceflight to Kennedy before the President took office, and had opposed the decision to land men on the Moon, hired Golovin, who had left NASA, to chair his own ""Space Vehicle Panel"", ostensibly to monitor, but actually to second-guess NASA's decisions on the Saturn V launch vehicle and LOR by forcing Shea, Seamans, and even Webb to defend themselves, delaying its formal announcement to the press on July 11, 1962, and forcing Webb to still hedge the decision as ""tentative"".",0,4888
What titles are the President given?,"The President is both the head of state and head of government, and of a multi-party system.",0,4430
Who was influential in promoting the use of chemical compounds as medicines?,"Living in the 10th century, he wrote The foundations of the true properties of Remedies, amongst others describing arsenious oxide, and being acquainted with silicic acid.",1,42
What did Sir Charles Parsons invent?,"Other notable people born in or associated with Newcastle include: engineer and industrialist Lord Armstrong, engineer and father of the modern steam railways George Stephenson, his son, also an engineer, Robert Stephenson, engineer and inventor of the steam turbine Sir Charles Parsons, inventor of the incandescent light bulb Sir Joseph Swan, modernist poet Basil Bunting, and Lord Chief Justice Peter Taylor.",0,3370
What French animation studio did ABC purchase in 1993?,"In 1993, the FCC repealed the Financial Interest and Syndication Rules, once again allowing networks to hold interests in television production studios.",1,1069
Which tribe did Temüjin move in with at nine years of age?,"Temüjin was to live there in service to Dai Setsen, the head of the new household, until he reached the marriageable age of 12.",1,1697
What was the Doritos customer Super Bowl ad campaign called?,"Nintendo and The Pokémon Company also made their Super Bowl debut, promoting the 20th anniversary of the Pokémon video game and media franchise.",1,4964
When did Temur rule?,"Thus, Zhenjin's third son, with the support of his mother Kökejin and the minister Bayan, succeeded the throne and ruled as Temür Khan, or Emperor Chengzong, from 1294 to 1307.",0,2676
"In order to be considered in the top percentile, a person would need to amass how much money each year?","Oxfam's claims have however been questioned on the basis of the methodology used: by using net wealth (adding up assets and subtracting debts), the Oxfam report, for instance, finds that there are more poor people in the United States and Western Europe than in China (due to a greater tendency to take on debts).[unreliable source?][unreliable source?]",1,919
Which country was the last to receive the disease?,Finally it spread to northwestern Russia in 1351.,0,2929
Who was the game's top receiver?,Sanders was his top receiver with six receptions for 83 yards.,0,3564
When was the deportation of Acadians?,The deportation of Acadians beginning in 1755 resulted in land made available to migrants from Europe and the colonies further south.,0,400
What disease did Tesla catch?,"Tesla's father, in a moment of despair, promised to send him to the best engineering school if he recovered from the illness (his father had originally wanted him to enter the priesthood).",1,2697
What famous composer used a Lutheran hymn in his work?,Luther adopted a preexisting Johann Walter tune associated with a hymnic setting of Psalm 67's prayer for grace; Wolf Heintz's four-part setting of the hymn was used to introduce the Lutheran Reformation in Halle in 1541.,1,2253
What is the approximate condenser temperature in a turbine?,"Without the pressure reaching supercritical levels for the working fluid, the temperature range the cycle can operate over is quite small; in steam turbines, turbine entry temperatures are typically 565 °C (the creep limit of stainless steel) and condenser temperatures are around 30 °C.",0,2053
What element is used as a coolant in the process of making liquid oxygen?,High-purity liquid O_2 is usually obtained by the fractional distillation of liquefied air.,1,1720
What year is the earliest traces of the color Crimson at Harvard?,"The school color is crimson, which is also the name of the Harvard sports teams and the daily newspaper, The Harvard Crimson.",1,2450
What can the exhaust steam not fully do when the exhaust event is insufficiently long?,The simplest valve gears give events of fixed length during the engine cycle and often make the engine rotate in only one direction.,1,2523
How many elements did Aristotle believe the terrestrial sphere to be made up of?,"Aristotle believed that motionless objects on Earth, those composed mostly of the elements earth and water, to be in their natural place on the ground and that they will stay that way if left alone.",1,4140
Who started rumors in 2008 that ABC would sell its ten owned-and-operated stations?,"On August 15, 2008, Disney denied rumors started by Caris & Co. that it would be selling the ten ABC owned-and-operated stations.",0,3012
When was Geegen the emperor?,"Emperor Gegeen Khan, Ayurbarwada's son and successor, ruled for only two years, from 1321 to 1323.",0,665
What is the result of the Calvin cycle?,"Most of the G3P molecules are recycled back into RuBP using energy from more ATP, but one out of every six produced leaves the cycle—the end product of the dark reactions.",1,3946
Why did the university eventually leave the conference?,"However, the university chose to withdraw from the conference in 1946 after University President Robert Maynard Hutchins de-emphasized varsity athletics in 1939 and dropped football.",0,2577
When did Luther start preaching Prophetic faith?,"In 1521 Luther dealt largely with prophecy, in which he broadened the foundations of the Reformation placing them on prophetic faith.",0,3743
How many times has Polonia won the cup?,"They also won the country’s championship in 1946, and won the cup twice as well.",0,3184
What countries is corporal punishment still a normal practice?,"Official corporal punishment, often by caning, remains commonplace in schools in some Asian, African and Caribbean countries.",0,3786
What enemy of Doctor Who is also a Time Lord?,"The Doctor has gained numerous reoccurring enemies during his travels, including the Daleks, the Cybermen, and the Master, another renegade Time Lord.",0,1666
Among whom was Genghis Khan's empire split after his death?,"As a result, Genghis Khan and his empire have a fearsome reputation in local histories.",1,1841
When was the first plastome sequenced?,It is also known as the plastome.,1,3078
What sea bordered Genghis Khan's empire to the east when he died?,"Contrary to popular belief, Genghis Khan did not conquer all the areas ultimately part of the Mongol Empire.",1,3045
When did Tesla go to Tomingaj?,"He read many books while in Tomingaj, and later said that Mark Twain's works had helped him to miraculously recover from his earlier illness.",1,994
What distinguishes granal thylakoids?,"There are two types of thylakoids—granal thylakoids, which are arranged in grana, and stromal thylakoids, which are in contact with the stroma.",0,3742
When did the last glacial end?,The last phase slightly predates the global last ice age maximum (Last Glacial Maximum).,1,2039
"In April 2014, how many New Zealand students attended private schools?","As a result, private schools in New Zealand are now largely restricted to the largest cities (Auckland, Hamilton, Wellington and Christchurch) and niche markets.",1,1920
What are pharmacists in the United Kingdom being increasingly paid for?,"In the United Kingdom, pharmacists who undertake additional training are obtaining prescribing rights and this is because of pharmacy education.",1,126
What did the Apple system assign automatically,"The AppleTalk system automatically assigned addresses, updated the distributed namespace, and configured any required inter-network routing.",0,1187
What did the Ominde Commission do?,"After Kenya's independence on 12 December 1963, an authority named the Ominde Commission was formed to introduce changes that would reflect the nation's sovereignty.",1,2992
"According to the UMC, persons who are addicted to pornography have altered perceptions of whom?","Persons who are addicted to pornography are physiologically altered, as is their perspective, relationships with parishioners and family, and their perceptions of girls and women.""",0,5344
Who headed the Niagara Falls Cataract Construction Company in 1893?,"In 1893 Richard Dean Adams, who headed up the Niagara Falls Cataract Construction Company sought Tesla's opinion on what system would be best to transmit power generated at the falls.",0,2075
Who was responsible for the glass balustrade on the staircase and mezzanine in the main gallery?,"The main gallery was redesigned in 1994, the glass balustrade on the staircase and mezzanine are the work of Danny Lane, the gallery covering contemporary glass opened in 2004 and the sacred silver and stained-glass gallery in 2005.",0,4304
"As of February 2011, how many numbers has Goldbach's conjecture been proven to?","Weaker statements than this have been proven, for example Vinogradov's theorem says that every sufficiently large odd integer can be written as a sum of three primes.",1,2910
What was Tesla's mother's name?,"His father, Milutin Tesla, was a Serbian Orthodox priest.",1,2475
What is the vast disparities in wealth attributed to by Socialists?,"In order to rectify this situation, socialists argue that the means of production should be socially owned so that income differentials would be reflective of individual contributions to the social product.",1,3237
During what period the drainage basin of the Amazon likely split?,"During the mid-Eocene, it is believed that the drainage basin of the Amazon was split along the middle of the continent by the Purus Arch.",0,3562
What is Luther's thought about the extent of his church?,"Luther's thought is revolutionary to the extent that it is a theology of the cross, the negation of every affirmation: as long as the cross is at the center, the system building tendency of reason is held in check, and system building does not degenerate into System.",0,419
When was the St. Bartholomew's Day Massacre?,"In what became known as the St. Bartholomew's Day Massacre of 24 August – 3 October 1572, Catholics killed thousands of Huguenots in Paris.",0,83
How did the new king react to the Huguenots?,"At first he sent missionaries, backed by a fund to financially reward converts to Catholicism.",1,1197
What difficulties was Shirly having?,"In conjunction, Shirley was made aware that the French were massing for an attack on Fort Oswego in his absence when he planned to attack Fort Niagara.",1,4847
Which company provides train service in Fresno?,Passenger rail service is provided by Amtrak San Joaquins.,0,1850
What time did a river system develop in the Upper Rhine Graben?,"By the time of the Miocene, a river system had developed in the Upper Rhine Graben, that continued northward and is considered the first Rhine river.",0,4038
"In a 4-cylinder compound engine, what degree were the individual pistons balanced at?","When the double expansion group is duplicated, producing a 4-cylinder compound, the individual pistons within the group are usually balanced at 180°, the groups being set at 90° to each other.",0,1984
How many yards was the field goal that made the score 13-7 in Super Bowl 50?,"Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while Jonathan Stewart finished the drive with a 1-yard touchdown run, cutting the score to 10–7 with 11:28 left in the second quarter.",1,2899
Who provided a definition of linear bounded automata in 1960?,"Earlier papers studying problems solvable by Turing machines with specific bounded resources include  John Myhill's definition of linear bounded automata (Myhill 1960), Raymond Smullyan's study of rudimentary sets (1961), as well as Hisao Yamada's paper on real-time computations (1962).",0,5441
Who filed an objection to the BBC using the blue police box in Doctor Who merchandise?,"In 1996, the BBC applied for a trade mark to use the TARDIS' blue police box design in merchandising associated with Doctor Who.",1,3153
What persons were not allowed to settle in New France?,The kingdom did not fully recover for years.,1,2799
Who was drawn to Jacksonville in the 1910s?,"Over the course of the decade, more than 30 silent film studios were established, earning Jacksonville the title of ""Winter Film Capital of the World"".",1,1473
What pathway that plays a role in immune response to viruses is present in all eukaryotes?,"Ribonucleases and the RNA interference pathway are conserved across all eukaryotes, and are thought to play a role in the immune response to viruses.",0,2295
What were European countries doing during the 1700's?,"The Age of Imperialism, a time period beginning around 1700, saw (generally European) industrializing nations engaging in the process of colonizing, influencing, and annexing other parts of the world in order to gain political power.[citation needed]",0,3504
How many contributing authors does an IPCC report chapter have?,Each chapter has a number of authors who are responsible for writing and editing the material.,1,789
"In the mid 18th century, who did not concur that 1 should be the first prime number?",In the 19th century many mathematicians still considered the number 1 to be a prime.,1,5414
What battle outside Quebec City did British lose in 1760?,"The victory was made complete in 1760 when, despite losing outside Quebec City in the Battle of Sainte-Foy, the British were able to prevent the arrival of French relief ships in the naval Battle of the Restigouche while armies marched on Montreal from three sides.",0,1861
Who was Chairman of the Subcommittee on Oversight and Investigations?,"Sherwood Boehlert, chairman of the House Science Committee, said this was a ""misguided and illegitimate investigation"" apparently aimed at intimidating scientists, and at his request the U.S. National Academy of Sciences arranged for its National Research Council to set up a special investigation.",1,3544
What lead to the UK to subscribe to the agreement on Social Policy?,"The UK subsequently adopted the main legislation previously agreed under the Agreement on Social Policy, the 1994 Works Council Directive, which required workforce consultation in businesses, and the 1996 Parental Leave Directive.",1,4129
Where does the Delta in the Netherlands begin?,"Meuse–Scheldt delta, as the Scheldt ends in the same delta.",1,4613
Who is Antigone's father in the play?,"One of the oldest depictions of civil disobedience is in Sophocles' play Antigone, in which Antigone, one of the daughters of former King of Thebes, Oedipus, defies Creon, the current King of Thebes, who is trying to stop her from giving her brother Polynices a proper burial.",0,1301
Which theorem can be simplified to the Lasker–Noether theorem?,"Prime ideals, which generalize prime elements in the sense that the principal ideal generated by a prime element is a prime ideal, are an important tool and object of study in commutative algebra, algebraic number theory and algebraic geometry.",1,5249
Who was the ABC Radio president in 1968?,"The new concept called ""LOVE Radio"", which featured a limited selection of music genres, was launched on ABC's seven owned-and-operated FM stations in late November 1968; the concept replaced nearly all of the programming provided by these stations; however, several affiliates (such as KXYZ) retained the majority of their content.",1,4226
Who was the Broncos' leading rusher for the 2015 season?,"Overall, the offense ranked 19th in scoring with 355 points and did not have any Pro Bowl selections.",1,4394
Where did he work on the oscillators?,"While experimenting with mechanical oscillators at his Houston Street lab, Tesla allegedly generated a resonance of several buildings.",0,2410
How many times had Thomas Davis torn his ACL in his career?,"Carolina suffered a major setback when Thomas Davis, an 11-year veteran who had already overcome three ACL tears in his career, went down with a broken arm in the NFC Championship Game.",0,4288
What player punched the ball in from the 2?,"On the next play, Miller stripped the ball away from Newton, and after several players dove for it, it took a long bounce backwards and was recovered by Ward, who returned it five yards to the Panthers 4-yard line.",1,5094
What measure of a computational problem broadly defines the inherent difficulty of the solution?,One of the roles of computational complexity theory is to determine the practical limits on what computers can and cannot do.,1,960
What was the first television series to feature an openly gay character?,"On September 13, 1977, the network debuted Soap, a controversial soap opera parody which became known for being the first television series to feature an openly gay main character (played by a then-unknown Billy Crystal); it last ran on the network on April 20, 1981.",0,2262
What was the main idea of James Hutton's paper?,"In his paper, he explained his theory that the Earth must be much older than had previously been supposed in order to allow enough time for mountains to be eroded and for sediments to form new rocks at the bottom of the sea, which in turn were raised up to become dry land.",0,2350
Thomas de Maiziere serves what role in the German cabinet?,"The last Prime Minister of the (East) German Democratic Republic, Lothar de Maizière, is also a descendant of a Huguenot family, as is the German Federal Minister of the Interior, Thomas de Maizière.",0,4257
When was the Santer Commission censured by Parliament?,"Commissioners have sometimes been found to have abused their offices, particularly since the Santer Commission was censured by Parliament in 1999, and it eventually resigned due to corruption allegations.",0,3333
What Star Trek episode has a nod to Doctor Who?,"There have also been many references to Doctor Who in popular culture and other science fiction, including Star Trek: The Next Generation (""The Neutral Zone"") and Leverage.",0,794
Who did Gegeen appoint as grand chancellor?,"They placed Yesün Temür (or Taidingdi) on the throne, and, after an unsuccessful attempt to calm the princes, he also succumbed to regicide.",1,1812
"In addition to the traveling salesman problem, what is another example of a function problem?","A function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it isn't just yes or no.",1,4204
Working versions of 3D-printing building technology are already printing how much building material per hour?,"Working versions of 3D-printing building technology are already printing 2 metres (6 ft 7 in) of building material per hour as of January 2013[update], with the next-generation printers capable of 3.5 metres (11 ft) per hour, sufficient to complete a building in a week.",0,2163
How long is the term of a Judicial Council member?,The Judicial Council is the highest court in the denomination.,1,1777
In what city did the last Super Bowl in California occur?,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium.",1,3330
When was Doctor Who viewing at its highest level?,"Its late 1980s performance of three to five million viewers was seen as poor at the time and was, according to the BBC Board of Control, a leading cause of the programme's 1989 suspension.",1,2224
"What is a genuine love of God with heart, soul and mind?","Sanctifying Grace is that grace of God which sustains the believers in the journey toward Christian Perfection: a genuine love of God with heart, soul, mind, and strength, and a genuine love of our neighbors as ourselves.",0,1891
When was Geegen the emperor?,"They placed Yesün Temür (or Taidingdi) on the throne, and, after an unsuccessful attempt to calm the princes, he also succumbed to regicide.",1,4451
What was the source of the Rhine in the last Ice Age?,"Most of the Rhine's current course was not under the ice during the last Ice Age; although, its source must still have been a glacier.",0,1036
What does isobaric mean?,The main difference is that heat addition (in the boiler) and rejection (in the condenser) are isobaric (constant pressure) processes in the Rankine cycle and isothermal (constant temperature) processes in the theoretical Carnot cycle.,0,726
What does turning sideways protect chloroplasts from?,This reduces exposure and protects them from photooxidative damage.,0,848
Where is the Apache Point Observatory located?,"The university partially manages Argonne National Laboratory, part of the United States Department of Energy's national laboratory system, and has a joint stake in Fermilab, a nearby particle physics laboratory, as well as a stake in the Apache Point Observatory in Sunspot, New Mexico.",0,1397
How many times did the Denver defense force Newton into turnovers?,"Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown.",0,3964
When was the FSO Car Factory founded?,"In 2005 the factory was sold to AvtoZAZ, a Ukrainian car manufacturer which assembled there the Chevrolet Aveo.",1,2198
Stretched rocks that pinch into lenses are known by what word?,Rocks at the depth to be ductilely stretched are often also metamorphosed.,1,4210
What style were the mass constructed residential blocks designed in?,"Mass residential blocks were erected, with basic design typical of Eastern bloc countries.",0,4860
"Who wrote ""Walking in Fresno?""","In the 1970s, the city was the subject of a song, ""Walking Into Fresno"", written by Hall Of Fame guitarist Bill Aken and recorded by Bob Gallion of the world-famous ""WWVA Jamboree"" radio and television show in Wheeling, West Virginia.",0,4203
Intractable problems lacking polynomial time solutions necessarily negate the practical efficacy of what type of algorithm?,"In complexity theory, problems that lack polynomial-time solutions are considered to be intractable for more than the smallest inputs.",1,2614
Who conducted this survey?,"Misconduct by teachers, especially sexual misconduct, has been getting increased scrutiny from the media and the courts.",1,1282
"In order to better understand the orientations of faults and folds, structural geologists do what with measurements of geological structures?",They also plot and combine measurements of geological structures in order to better understand the orientations of faults and folds in order to reconstruct the history of rock deformation in the area.,0,2528
How did Mongol armies lure enemy groups out of their defensive positions?,"The Mongol military was also successful in siege warfare, cutting off resources for cities and towns by diverting certain rivers, taking enemy prisoners and driving them in front of the army, and adopting new ideas, techniques and tools from the people they conquered, particularly in employing Muslim and Chinese siege engines and engineers to aid the Mongol cavalry in capturing cities.",1,1738
How are cyanobacteria sometimes wrongly described?,"They are a diverse phylum of bacteria capable of carrying out photosynthesis, and are gram-negative, meaning that they have two cell membranes.",1,2624
How far is Fresno from Los Angeles?,"Fresno is in the center of the San Joaquin Valley and is the largest city in the Central Valley, which contains the San Joaquin Valley.",1,1523
What company owned NBC in the 1930s?,"In the 1930s, radio in the United States was dominated by three companies: the Columbia Broadcasting System (CBS), the Mutual Broadcasting System and the National Broadcasting Company (NBC).",1,1572
What is the basic unit of organization within the UMC?,"In many ways, the United Methodist Church operates in a connectional organization of the Annual Conferences, and actions taken by one conference are not binding upon another.",1,5208
What did Gano hit on his 44-yard field goal attempt?,"But the Broncos defense halted the drive on the 26-yard line, and it ended with no points when Graham Gano hit the uprights on a 44-yard field goal attempt.",0,5074
For what purpose do organisms make peroxide and superoxide?,Reactive oxygen species also play an important role in the hypersensitive response of plants against pathogen attack.,1,5217
What are those with lower incomes often unable to manage?,"If the state does not provide these services, then for those on lower incomes, the costs must be borrowed and often those on lower incomes are those who are worse equipped to manage their finances.",0,1536
At what point does oxygen toxicity begin to happen?,"Oxygen toxicity usually begins to occur at partial pressures more than 50 kilopascals (kPa), equal to about 50% oxygen composition at standard pressure or 2.5 times the normal sea-level O_2 partial pressure of about 21 kPa.",0,348
The academic body of the university is made up of how many divisions of graduate?,"The university also contains a library system, the University of Chicago Press, the University of Chicago Laboratory Schools, and the University of Chicago Medical Center, and holds ties with a number of independent academic institutions, including Fermilab, Argonne National Laboratory, and the Marine Biological Laboratory.",1,2379
Who was an important early figure in the Islamic revival in India?,"His extremely influential books (translated into many languages) placed Islam in a modern context, and influenced not only conservative ulema but liberal modernizer Islamists such as al-Faruqi, whose ""Islamization of Knowledge"" carried forward some of Maududi's key principles.",1,4773
What was Tesla's salary from Westinghouse in 1934?,Several sources say Westinghouse was worried about potential bad publicity surrounding the impoverished conditions their former star inventor was living under.,1,2123
What does the Scotland Act of 2012 extend?,The Scotland Act 2012 extends the devolved competencies.,0,357
"What can people work towards if they aren't denied their functionings, capabilities and agency?","When a person’s capabilities are lowered, they are in some way deprived of earning as much income as they would otherwise.",1,940
Who did Britain exploit in India?,"The colonization of India in the mid-18th century offers an example of this focus: there, the ""British exploited the political weakness of the Mughal state, and, while military activity was important at various times, the economic and administrative incorporation of local elites was also of crucial significance"" for the establishment of control over the subcontinent's resources, markets, and manpower.",0,2463
How many refugees emigrated to the Dutch Republic?,"In 1705, Amsterdam and the area of West Frisia were the first areas to provide full citizens rights to Huguenot immigrants, followed by the Dutch Republic in 1715.",1,5435
What was DATANET 1,Although this use of the name was incorrect all these services were managed by the same people within one department of KPN contributed to the confusion.,1,1678
Where was the ESPN Deportes Spanish version of Super Bowl 50 available?,"CBS provided digital streams of the game via CBSSports.com, and the CBS Sports apps on tablets, Windows 10, Xbox One and other digital media players (such as Chromecast and Roku).",1,1664
Who came up with the theory of relativity?,When Albert Einstein formulated his theory of general relativity (GR),0,1302
How many central conferences are outside of the United States?,"Outside the United States the church is divided into seven central conferences: Africa, Congo, West Africa, Central & Southern Europe, Germany, Northern Europe and the Philippines.",0,1089
Who did the Panthers beat to become the NFC champs?,"The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game.",1,1517
What position does Demaryius Thomas play?,"Overall, the offense ranked 19th in scoring with 355 points and did not have any Pro Bowl selections.",1,259
What did the  fossils found in the Burgess Shale lack?,"Three additional putative species were then found in the Burgess Shale and other Canadian rocks of similar age, about 505 million years ago in the mid-Cambrian period.",1,1094
Rock units become thicker and shorten when placed under this type of compression.,"When rock units are placed under horizontal compression, they shorten and become thicker.",0,2693
How many of the Mau Mau did Home Gaurd kill?,"The most important of these was the Swynnerton Plan, which was used to both reward loyalists and punish Mau Mau.",1,2707
What event was blamed on the introduction of mnemiopsis into The Black Sea?,"The situation was aggravated by other factors, such as over-fishing and long-term environmental changes that promoted the growth of the Mnemiopsis population.",1,1717
What made Luther even more short tempered than usual?,His poor physical health made him short-tempered and even harsher in his writings and comments.,0,234
"After its re-opening, which types of movies did the Tower Theatre show?",Also in the Tower District is Good Company Players' 2nd Space Theatre.,1,2726
Which of Genghis Khan's descendants pushed the Mamluks out of Palestine?,"His descendant Hulagu Khan destroyed much of Iran's northern part and sacked Baghdad although his forces were halted by the Mamluks of Egypt, but Hulagu's descendant Ghazan Khan would return to beat the Egyptian Mamluks right out of Levant, Palestine and even Gaza.",0,4656
What must a project adhere to?,Constructing a project that fails to adhere to codes does not benefit the owner.,1,482
What did the Mongol army throw in their catapults?,"The Genoese traders fled, taking the plague by ship into Sicily and the south of Europe, whence it spread north.",1,1737
What two radio stations in Denver carried Super Bowl 50?,"In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Dave Logan on play-by-play and Ed McCaffrey on color commentary.",0,5022
"When a commission reached no decision, what happened?","Frontiers from between Nova Scotia and Acadia in the north, to the Ohio Country in the south, were claimed by both sides.",0,2947
When did Holden announce that it will close its Victoria plant?,"Holden's announcement occurred in May 2013, followed by Ford's decision in December of the same year (Ford's Victorian plants—in Broadmeadows and Geelong—will close in October 2016).",0,4249
In what year did ENR compile data in nine market segments?,"In 2014, ENR compiled the data in nine market segments.",0,5127
How long has the Doctor Who Magazine been in circulation?,"Numerous non-fiction books about the series, including guidebooks and critical studies, have also been published, and a dedicated Doctor Who Magazine with newsstand circulation has been published regularly since 1979.",0,4879
When was the coldest temperature in Newcastle recorded?,Temperature extremes recorded at Newcastle Weather Centre include 32.5 °C (90.5 °F) during August 1990 down to −12.6 °C (9.3 °F) during January 1982.,0,2888
"What was originally on the spacesuits prior to the clear ""fishbowl"" helmet?","The traditional visor helmet was replaced with a clear ""fishbowl"" type for greater visibility, and the lunar surface EVA suit would include a water-cooled undergarment.",0,487
What did the sparks do to the insulation?,"In August 1917, Tesla explained what had happened in The Electrical Experimenter: ""As an example of what has been done with several hundred kilowatts of high frequency energy liberated, it was found that the dynamos in a power house six miles away were repeatedly burned out, due to the powerful high frequency currents set up in them, and which caused heavy sparks to jump through the windings and destroy the insulation!""",0,3805
What is the KNLS responsible for?,"KNLS is the body mandated to establish, equip, manage and maintain national and public libraries in the country.",0,3423
Where and when did the investigation of the plague pathogen begin?,"The dominant explanation for the Black Death is the plague theory, which attributes the outbreak to Yersinia pestis, also responsible for an epidemic that began in southern China in 1865, eventually spreading to India.",1,3791
What are some examples of undesirable end results of a project?,"For this reason, those with experience in the field make detailed plans and maintain careful oversight during the project to ensure a positive outcome.",1,2136
What is in Eldon Square?,The street curves down from Grey's Monument towards the valley of the River Tyne and was voted England's finest street in 2005 in a survey of BBC Radio 4 listeners.,1,4829
What previous work did Lavoisier experiments discredit?,"The name oxygen was coined in 1777 by Antoine Lavoisier, whose experiments with oxygen helped to discredit the then-popular phlogiston theory of combustion and corrosion.",0,2169
What was Luther's Disputation of Martin Luther on the Power and Efficacy of Indulgences later called?,"Hans Hillerbrand writes that Luther had no intention of confronting the church, but saw his disputation as a scholarly objection to church practices, and the tone of the writing is accordingly ""searching, rather than doctrinaire.",1,2559
Who was in charge of the papal army in the War of Barbastro?,"In 1064, during the War of Barbastro, William of Montreuil led the papal army and took a huge booty.",0,1513
What is an etioplast?,"An etioplast is a plastid that lacks chlorophyll, and has inner membrane invaginations that form a lattice of tubes in their stroma, called a prolamellar body.",0,3938
What is a hermaphrodite?,"Some are simultaneous hermaphrodites, which can produce both eggs and sperm at the same time.",1,1897
When was amnesty granted to those responsible for the massacre?,The exact number of fatalities throughout the country is not known.,1,32
What were casualties of battle?,"They killed many of the Canadians, including their commanding officer, Joseph Coulon de Jumonville, whose head was reportedly split open by Tanaghrisson with a tomahawk.",0,1136
What do apicoplasts synthesize?,"they synthesize fatty acids, isopentenyl pyrophosphate, iron-sulfur clusters, and carry out part of the heme pathway.",0,1288
What type of atmosphere helped fuel the fire throughout the cabin?,"Pressure rose high enough from the fire that the cabin burst and the fire erupted onto the pad area, frustrating attempts to rescue the crew.",1,4769
Who did Gegeen appoint as grand chancellor?,"He continued his father's policies to reform the government based on the Confucian principles, with the help of his newly appointed grand chancellor Baiju.",0,1589
What is the name of the donor who helped establish the Hutchinson Commons?,"The original physical campus was financed by donations from wealthy Chicagoans like Silas B. Cobb who provided the funds for the campus' first building, Cobb Lecture Hall, and matched Marshall Field's pledge of $100,000.",1,2645
When did Victoria enact its constitution?,"Victoria has a written constitution enacted in 1975, but based on the 1855 colonial constitution, passed by the United Kingdom Parliament as the Victoria Constitution Act 1855, which establishes the Parliament as the state's law-making body for matters coming under state responsibility.",0,1097
In which year was the Salting Bequest made?,"Among the finest examples are the Meissen Vulture from 1731 and the Möllendorff Dinner Service, designed in 1762 by Frederick II the Great.",1,2536
