question,passage,idx,label
are solar cells the same as solar panels,"Solar cell -- A solar cell, or photovoltaic cell, is an electrical device that converts the energy of light directly into electricity by the photovoltaic effect, which is a physical and chemical phenomenon. It is a form of photoelectric cell, defined as a device whose electrical characteristics, such as current, voltage, or resistance, vary when exposed to light. Individual solar cell devices can be combined to form modules, otherwise known as solar panels. In basic terms a single junction silicon solar cell can produce a maximum open-circuit voltage of approximately 0.5 to 0.6 volts.",3007,0
will there be another season of ad the bible continues,"A.D. The Bible Continues -- A.D. The Bible Continues (also known as A.D. Kingdom and Empire) is a television miniseries, based on the Bible, and a sequel to the 2013 miniseries, The Bible. It is produced by Roma Downey, Mark Burnett, and Richard Bedser. The limited series began airing on NBC on Easter Sunday, April 5, 2015, in twelve weekly one-hour episodes. The story takes place immediately after the events of The Bible miniseries, beginning with the crucifixion and resurrection of Jesus, and continues with the first ten chapters of the Acts of the Apostles. On July 3, 2015, NBC cancelled A.D. The Bible Continues after one season. However, producers Burnett and Downey plan future biblical productions on their OTT digital channel.",676,0
is a grouse the same as a partridge,"Ruffed grouse -- The ruffed grouse is sometimes incorrectly referred to as a ``partridge'', an unrelated phasianid, and occasionally confused with the grey partridge, a bird of open areas rather than woodlands.",2935,0
do they find kate in a child in time,"The Child in Time -- Stephen experiences a strange event that he cannot explain: he sees his parents as a young couple in a pub, before they married. The book also deals with his grief and eventually his painful acceptance of the loss of his child.",2281,0
is tartar sauce and cream of tartar the same,"Tartar sauce -- Tartare sauce is based on either mayonnaise (egg yolk, mustard or vinegar, oil) or aioli (egg yolk, olive oil, garlic, lemon juice), with certain other ingredients added. In many places, cream of tartare is used. In the UK, recipes typically add to the base capers, gherkins, lemon juice, and dill. US recipes may include chopped pickles or prepared green sweet relish, capers, onions (or chives), and fresh parsley. Chopped hard-boiled eggs or olives are sometimes added, as may be Dijon mustard and cocktail onions. Paul Bocuse describes sauce tartare explicitly as a sauce remoulade, in which the characterising anchovy purée is to be substituted by some hot Dijon mustard.",2623,0
does britain have the right to bear arms,"Right to keep and bear arms -- The right to keep and bear arms is not legally or constitutionally protected in the United Kingdom. Most handguns, automatic, and centerfire semi-automatic weapons are illegal to possess without special proviso.",2072,0
is the little house on the prairie fiction,"Little House on the Prairie -- The ``Little House'' Books is a series of American children's novels written by Laura Ingalls Wilder, based on her childhood and adolescence in the American Midwest (Wisconsin, Kansas, Minnesota, South Dakota, and Missouri) between 1870 and 1894. Eight of the novels were completed by Wilder, and published by Harper & Brothers. The appellation ``Little House'' books comes from the first and third novels in the series of eight published in her lifetime. The second novel was about her husband's childhood. The first draft of a ninth novel was published posthumously in 1971 and is commonly included in the series.",2349,0
does learner's permit count as driver's license,"Learner's permit -- A driver's permit, learner's permit, learner's license or provisional license, is a restricted license that is given to a person who is learning to drive, but has not yet satisfied the requirement to obtain a driver's license. Having a driver's permit for a certain length of time is usually one of the requirements (along with driver's education and a road test) for applying for a full driver's license. To get a learner's permit, one must typically pass a written permit test, traffic, and rules of the road.",2724,0
is high maltose corn syrup the same as high fructose,"High-maltose corn syrup -- High-maltose corn syrup is a food additive used as a sweetener and preservative. The majority sugar is maltose. It is less sweet than high-fructose corn syrup and contains little to no fructose. It is sweet enough to be useful as a sweetener in commercial food production, however. To be given the label ``high'', the syrup must contain at least 50% maltose. Typically, it contains 40--50% maltose, though some have as high as 70%.",2075,0
do you know the place where the peacock throne is now,"Peacock Throne -- The Peacock Throne was a famous jeweled throne that was the seat of the Mughal emperors of India. It was commissioned in the early 17th century by emperor Shah Jahan and was located in the Diwan-i-Khas (Hall of Private Audiences) in the Red Fort of Delhi. The original throne was subsequently captured and taken as a war trophy in 1739 by the Persian emperor Nadir Shah, and has been lost since. A replacement throne based on the original was commissioned afterwards and existed until the Indian Rebellion of 1857.",702,0
do tom and hannah get together in made of honor,"Made of Honor -- Hannah and Tom eventually get married. Melissa catches the bouquet and then links arms with Tom's dad, to which he says ``Number 6?'' and his lawyer says ``7''. Hannah and Tom go on their honeymoon. Tom turns on the light just to see if he has got the right girl and Hannah replies ``You do''. The two kiss and as Hannah turns off the light, Tom says ``Oh, Monica'' and Hannah replies ``Oh, Bill.''",1693,1
is there extra time in the world cup playoffs,"2018 FIFA World Cup knockout stage -- In the knockout stage, if a match was level at the end of 90 minutes of normal playing time, extra time was played (two periods of 15 minutes each), where each team was allowed to make a fourth substitution. If still tied after extra time, the match was decided by a penalty shoot-out to determine the winners.",2181,1
are you required to complete the 2017 economic census,"United States Economic Census -- The United States Economic Census is the U.S. federal government's official five-year measure of American business and the economy. It is conducted by the U.S. Census Bureau, and response is required by law. Forms go out to nearly 4 million businesses, including large, medium and small companies representing all U.S. locations and industries. Respondents are asked to provide a range of operational and performance data for their companies. Trade associations, chambers of commerce, and businesses use information from the economic census for economic development, business decisions, and strategic planning purposes. The next Economic Census will be conducted for the year ending December 2017.",893,1
can we travel faster than speed of light,"Faster-than-light -- According to the current scientific theories, matter is required to travel at slower-than-light (also subluminal or STL) speed with respect to the locally distorted spacetime region. Apparent FTL is not excluded by general relativity; however, any apparent FTL physical plausibility is speculative. Examples of apparent FTL proposals are the Alcubierre drive and the traversable wormhole.",1453,0
is it lucky to find a four leaf clover,"Four-leaf clover -- The four-leaf clover is a rare variation of the common three-leaf clover. According to traditional superstition, such clovers bring good luck, though it is not clear when or how that superstition got started. The earliest mention of ``Fower-leafed or purple grasse'' is from 1640 and simply says that it was kept in gardens because it was ``good for the purples in children or others''. A description from 1869 says that four-leaf clovers were ``gathered at night-time during the full moon by sorceresses, who mixed it with vervain and other ingredients, while young girls in search of a token of perfect happiness made quest of the plant by day''. The first reference to luck might be from an 11-year-old girl, who wrote in an 1877 letter to St. Nicholas Magazine, ``Did the fairies ever whisper in your ear, that a four-leaf clover brought good luck to the finder?''",1500,1
is ncis new orleans over for the season,"NCIS: New Orleans (season 4) -- The fourth season of NCIS: New Orleans premiered on September 26, 2017 on CBS. The series continues to air following Bull, Tuesday at 10:00 p.m. (ET) and contained 24 episodes. The season concluded on May 15, 2018.",145,1
is a learner's license the same as a permit,"Learner's permit -- A driver's permit, learner's permit, learner's license or provisional license, is a restricted license that is given to a person who is learning to drive, but has not yet satisfied the requirement to obtain a driver's license. Having a driver's permit for a certain length of time is usually one of the requirements (along with driver's education and a road test) for applying for a full driver's license. To get a learner's permit, one must typically pass a written permit test, traffic, and rules of the road.",2605,1
is drywall mud the same as joint compound,"Joint compound -- Often referred to as drywall taping mud, joint compound is the primary material used in the drywall industry by a tradesperson, or applicator, called a ``drywall mechanic,'' ``taper,'' or ``drywall taper.'' A similar compound is used in various ways as a sprayed-on textural finishing for gypsum panel walls and ceilings that have been pre-sealed and coated with joint compound. The flexibility and plastic qualities of joint compound make it a very versatile material both as sealer or finishing coat for wall surfaces, and also in decorative applications that range from machine sprayed texturing to hand-trowelled or even hand-crafted and sculptural finishes. In North America the application of joint mud and drywall tape sealer and trowelled joint compound on gypsum panels is a standard construction technique for painted wall and ceiling surfaces. Until more recently in North America, and through the world, several different plasters such as veneer plaster and ``plaster of Paris'' have been used in a similar ways to joint compounds as fillers or for decorative purposes since ancient times, and the actual make up and working properties of these compounds is much similar. Modern ready-mixes or powder and water mixes are available in a wide range of styles from slow-drying to quick-drying to suit specific demands for use by contractors or decorators.",505,1
do you have to use all the numbers on countdown,"Countdown (game show) -- The contestant in control chooses six of 24 shuffled face-down number tiles, arranged into two groups: 20 ``small numbers'' (two each of 1 through 10), and four ``large numbers'' of 25, 50, 75 and 100. Some special episodes replace the large numbers with 12, 37, 62 and 87. The contestant decides how many large numbers are to be used, from none to all four, after which the six tiles are randomly drawn and placed on the board. A random three-digit target number is then generated by an electronic machine, affectionately known as ``CECIL'' (which stands for Countdown's Electronic Calculator In Leeds). The contestants have 30 seconds to work out a sequence of calculations with the numbers whose final result is as close to the target number as possible. They may use only the four basic operations of addition, subtraction, multiplication and division, and do not have to use all six numbers. A number may not be used more times than it appears on the board. Fractions are not allowed, and only positive integers may be obtained as a result at any stage of the calculation. As in the letters rounds, any contestant who does not write down their calculations in time must go first, and both contestants must show their work to each other if their results and calculations are identical.",2962,0
did kristen bell sing all the voices of anna,"Anna (Frozen) -- Princess Anna of Arendelle is a fictional character who appears in Walt Disney Animation Studios' 53rd animated film Frozen. She is voiced by Kristen Bell as an adult. At the beginning of the film, Livvy Stubenrauch and Katie Lopez provided her speaking and singing voice as a young child, respectively. Agatha Lee Monn portrayed her as a nine-year-old (singing).",1938,0
is .380 auto the same as .380 acp,".380 ACP -- The .380 ACP (9×17mm) (Automatic Colt Pistol) is a rimless, straight-walled pistol cartridge developed by firearms designer John Moses Browning. The cartridge headspaces on the mouth of the case. It was introduced in 1908 by Colt, for use in its new Colt Model 1908 pocket hammerless semi-automatic, and has been a popular self-defense cartridge ever since, seeing wide use in numerous handguns (typically smaller weapons). Other names for .380 ACP include .380 Auto, 9mm Browning, 9mm Corto, 9mm Kurz, 9mm Short, 9×17mm and 9 mm Browning Court (which is the C.I.P. designation). It should not to be confused with .38 ACP, from which it was developed.",2674,1
is smaug the only dragon in middle earth,"Dragon (Middle-earth) -- In Tolkien's works, dragons are quadrupedal, like Komodo dragons or other lizards, and are either flightless (Glaurung) or are winged and capable of flight (Ancalagon and Smaug). Winged dragons are stated to have first appeared during the War of Wrath, the battle that ended the First Age.",530,0
is flexor pollicis longus in the carpal tunnel,"Carpal tunnel -- The tendons of the flexor digitorum superficialis and profundus pass through a common ulnar sheath, while the tendon of the flexor pollicis longus passes through a separate radial sheath. The mesotendon shared by these tendons is attached to the radial and palmar walls of the carpal tunnel.",1135,1
is there a sequel to the movie fifty shades of grey,"Fifty Shades Darker (film) -- Fifty Shades Darker is a 2017 American erotic romantic drama film directed by James Foley and written by Niall Leonard, based on E.L. James's 2012 novel of the same name. The second film in the Fifty Shades film series and the sequel to the 2015 film Fifty Shades of Grey, it stars Dakota Johnson and Jamie Dornan as Anastasia Steele and Christian Grey, respectively, with Eric Johnson, Eloise Mumford, Bella Heathcote, Rita Ora, Luke Grimes, Victor Rasuk, Kim Basinger, and Marcia Gay Harden in supporting roles.",875,1
is pyruvic acid and pyruvate the same thing,"Pyruvic acid -- Pyruvic acid (CHCOCOOH) is the simplest of the alpha-keto acids, with a carboxylic acid and a ketone functional group. Pyruvate (/paɪˈruːveɪt/), the conjugate base, CHCOCOO, is a key intermediate in several metabolic pathways.",980,0
is ford escape a 4 wheel drive vehicle,"Ford Escape -- At the time, larger sport utility vehicles tended to use pickup truck-based, body-on-frame designs. Other car makers, Jeep, Toyota and Honda had been offering smaller unibody designs, the Jeep Cherokee (XJ), RAV4 and CR-V respectively. Solid rear axles were commonly used on the full sized truck based SUVs and Jeep Cherokee due to their ability to carry heavy loads at the expense of a comfortable ride and good handling. Ford and Mazda decided to offer a car-like, unibody design with a fully independent suspension and rack and pinion steering similar to the RAV4 and CR-V, the Escape. Although not meant for serious off-roading, a full-time all-wheel-drive (AWD) system supplied by Dana was optional, which included a locking center differential activated by a switch on the dashboard. The AWD system normally sends most of the power from the engine to the front wheels. If slipping is detected at the front, more power will be sent to the rear wheels in a fraction of a second. The four wheel drive system was a newer version of Ford's ``Control Trac'' 4x4 system, dubbed the Control Trac II 4WD in the Escape. This system allowed the front wheels to receive 100% of the torque until a slip was detected. Using a Rotary Blade Coupling, the rear wheels could be sent up to 100% of the power in fractions of a second. When switching the system from ``Auto'' to ``On,'' the front and rear axles are locked at a 50/50 split; the reaction time necessary to engage the rear wheels is reduced via an integrated bypass clutch. The Control Trac II system allows for a four-wheel drive vehicle without the use of a center differential. The entire braking system was built by Continental Teves, including the ABS and various related suspension components. CKD production began in 2002 at Ford Lio Ho Motor Co. in Taiwan for various Asian markets.",970,1
is abu dhabi and dubai the same place,"Abu Dhabi -- Abu Dhabi (US: /ˈɑːbuː ˈdɑːbi/, UK: /ˈæbuː/; Arabic: أبو ظبي‎ Abū Ẓabī (ɐˈbuˈðʕɑbi)) is the capital and the second most populous city of the United Arab Emirates (the most populous being Dubai), and also capital of the Emirate of Abu Dhabi, the largest of the UAE's seven emirates. Abu Dhabi lies on a T-shaped island jutting into the Persian Gulf from the central western coast. The city of Abu Dhabi has an estimated population of 1.8 million in 2016.",2585,0
can you have one green eye and one blue eye,"Heterochromia iridum -- Heterochromia is a difference in coloration, usually of the iris but also of hair or skin. Heterochromia is determined by the production, delivery, and concentration of melanin (a pigment). It may be inherited, or caused by genetic mosaicism, chimerism, disease, or injury. It occurs in humans and certain breeds of dogs and cats.",825,1
does micropyle serves for the emergence of radicle,"Radicle -- The radicle emerges from a seed through the micropyle. Radicles in seedlings are classified into two main types. Those pointing away from the seed coat scar or hilum are classified as antitropous, and those pointing towards the hilum are syntropous.",1249,1
do i need a permit to open carry in missouri,"Gun laws in Missouri -- Missouri allows any person who has a valid concealed carry endorsement or permit and is lawfully carrying a firearm in a concealed manner to briefly and openly display the firearm, so long as the firearm is not displayed in an angry or threatening manner. Some localities prohibit open carry; however, concealed carry license holders are exempted from this restriction.",1692,1
can i have multiple foreign keys in a table,"Foreign key -- A table may have multiple foreign keys, and each foreign key can have a different parent table. Each foreign key is enforced independently by the database system. Therefore, cascading relationships between tables can be established using foreign keys.",1868,1
was there a women's baseball league during wwii,"All-American Girls Professional Baseball League -- With the entry of the United States into World War II, several major league baseball executives started a new professional league with women players in order to maintain baseball in the public eye while the majority of able men were away. The founders included Philip K. Wrigley, Branch Rickey and Paul V. Harper. They feared that Major League Baseball might even temporarily cease due to the war because of the loss of talent, as well as restrictions on team travel due to gasoline rationing.",3175,1
does sprite have lemon and lime in it,"Sprite (drink) -- Sprite is a colorless, caffeine-free, lemon- and lime-flavored soft drink created by The Coca-Cola Company. It was first developed in West Germany in 1959 as Fanta Klare Zitrone (``Clear Lemon Fanta'') and was introduced in the United States under the current brand name Sprite in 1961 as a competitor to 7 Up. Bottles of Sprite are usually transparent green in color, with a green and yellow label, whereas cans are colored silver, green, and blue, and aluminum bottles have a solid lime green color.",814,1
do they still have fox hunts in england,"Fox hunting -- Fox hunting with hounds, as a formalised activity, originated in England in the sixteenth century, in a form very similar to that practised until February 2005, when a law banning the activity in England and Wales came into force. A ban on hunting in Scotland had been passed in 2002, but it continues to be within the law in Northern Ireland and several other countries, including Australia, Canada, France, Ireland and the United States. In Australia, the term also refers to the hunting of foxes with firearms, similar to deer hunting. In much of the world, hunting in general is understood to relate to any game animals or weapons (e.g., deer hunting with bow and arrow); in Britain and Ireland, ``hunting'' without qualification implies fox hunting (or other forms of hunting with hounds--beagling, drag hunting, hunting the clean boot, mink hunting, or stag hunting), as described here.",52,0
is there a dodo in alice in wonderland,"Dodo (Alice's Adventures in Wonderland) -- The Dodo is a fictional character appearing in Chapters 2 and 3 of the book Alice's Adventures in Wonderland by Lewis Carroll (Charles Lutwidge Dodgson). The Dodo is a caricature of the author. A popular but unsubstantiated belief is that Dodgson chose the particular animal to represent himself because of his stammer, and thus would accidentally introduce himself as ``Do-do-dodgson''. Historically, the Dodo was a non-flying bird that lived on the island of Mauritius, east of Madagascar in the Indian Ocean. It became extinct in the mid 17th century during the colonisation of the island by the Dutch.",2756,1
is the movie the shape of water based on a book,"The Shape of Water -- The idea for The Shape of Water formed during del Toro's breakfast with Daniel Kraus in 2011, with whom he later co-wrote the novel Trollhunters. It shows similarities to the 2015 short film The Space Between Us. It was also primarily inspired by del Toro's childhood memories of seeing Creature from the Black Lagoon and wanting to see the Gill-man and Kay Lawrence (played by Julie Adams) succeed in their romance. When del Toro was in talks with Universal to direct a remake of Creature from the Black Lagoon, he tried pitching a version focused more on the creature's perspective, where the Creature ended up together with the female lead, but the studio executives rejected the concept.",2684,0
does a .org have to be a non profit,".org -- The domain name org is a generic top-level domain (gTLD) of the Domain Name System (DNS) used in the Internet. The name is truncated from organization. It was one of the original domains established in 1985, and has been operated by the Public Interest Registry since 2003. The domain was originally intended for non-profit entities, but this restriction was not enforced and has been removed. The domain is commonly used by schools, open-source projects, and communities, but also by some for-profit entities. The number of registered domains in org has increased from fewer than one million in the 1990s, to ten million as of June 2012.",2956,0
is the sound of music set in austria,"The Sound of Music (film) -- The Sound of Music is a 1965 American musical drama film produced and directed by Robert Wise, and starring Julie Andrews and Christopher Plummer, with Richard Haydn and Eleanor Parker. The film is an adaptation of the 1959 stage musical of the same name, composed by Richard Rodgers with lyrics by Oscar Hammerstein II. The film's screenplay was written by Ernest Lehman, adapted from the stage musical's book by Lindsay and Crouse. Based on the memoir The Story of the Trapp Family Singers by Maria von Trapp, the film is about a young Austrian woman studying to become a nun in Salzburg, Austria in 1938 who is sent to the villa of a retired naval officer and widower to be governess to his seven children. After bringing and teaching love and music into the lives of the family through kindness and patience, she marries the officer and together with the children they find a way to survive the loss of their homeland through courage and faith.",2002,1
does the governor die on the walking dead,"The Governor (The Walking Dead) -- In the television series, The Governor's disturbing motives are reflected in his authoritarian ways in dealing with threats to his community, primarily by executing most large groups and only accepting lone survivors into his community. His dark nature escalates when he comes into conflict with Rick Grimes and the latter's group, who are occupying the nearby prison. The Governor vows to eliminate the prison group, and in that pursuit, he leaves several key characters dead both in Rick's group and his own. The Governor has a romantic relationship with Andrea, who unsuccessfully seeks to broker a truce between the two groups. In season 4, The Governor attempts to redeem himself upon meeting a new family, to whom he introduces himself as Brian Heriot. However, he commits several brutal acts to ensure the family's survival. This leads to more characters' deaths and forces Rick and his group to abandon the prison.",1781,0
can triamcinolone acetonide cream be used to treat poison ivy,"Triamcinolone acetonide -- Triamcinolone acetonide as an intra-articular injectable has been used to treat a variety of musculoskeletal conditions. When applied as a topical ointment, applied to the skin, it is used to mitigate blistering from poison ivy, oak, and sumac, . When combined with Nystatin, it is used to treat skin infections with discomfort from fungus, though it should not be used on the eyes, mouth, or genital area. It provides relatively immediate relief and is used before using oral prednisone. Oral and dental paste preparations are used for treating aphthous ulcers.",3228,1
is there a border between switzerland and italy,"Italy–Switzerland border -- The border between the modern states of Switzerland and Italy extends to 744 km, from the French-Swiss-Italian tripoint at Mont Dolent in the west to the Austrian-Swiss-Italian tripoint near Piz Lad in the east. Much of the border runs across the High Alps, rising above 4,600 meters as it passes east of Dufourspitze, but it also descends to the lowest point in Switzerland as it passes Lago Maggiore below 200 meters.",2135,1
do you need a visa to visit oman,Visa policy of Oman -- Citizens of member nations of the Gulf Cooperation Council may travel to Oman without visa limits. Nationals of 71 other countries and territories can apply for visas online which are valid for a period of 30 days. All visitors must hold a passport valid for 6 months.,1180,1
is california state route 73 a toll road,"California State Route 73 -- State Route 73 (SR 73) is a state highway in the U.S. state of California, running from the junction with Interstate 405 in Costa Mesa through the San Joaquin Hills to its junction with Interstate 5 in San Juan Capistrano, its northern and southern termini, respectively. The entirety of the route is located in Orange County. From its southern terminus, the first twelve miles 12 miles (19 km) of the highway are a toll road, which opened in November 1996. This segment of SR 73 is operated by the San Joaquin Hills Transportation Corridor Agency named the San Joaquin Hills Transportation Corridor. The last 3 miles (4.8 km) of the 15-mile (24 km) highway, which opened in 1978, are part of the Corona del Mar Freeway. SR 73's alignment follows an approximately parallel path between the Pacific Coast Highway and the San Diego Freeway. For the three mile freeway segment, there are no HOV lanes currently, but the medians have been designed with sufficient clearance for their construction should the need arise in the future.",997,1
does cerebral spinal fluid have glucose in it,CSF glucose -- CSF glucose or glycorrhachia is a measurement used to determine the concentration of glucose in cerebrospinal fluid (CSF).,768,1
is there a tunnel under the english channel,"Channel Tunnel -- The Channel Tunnel (French: Le tunnel sous la Manche; also nicknamed the Chunnel) is a 50.45-kilometre (31.35 mi) rail tunnel linking Folkestone, Kent, in the United Kingdom, with Coquelles, Pas-de-Calais, near Calais in northern France, beneath the English Channel at the Strait of Dover. At its lowest point, it is 75 m (250 ft) deep below the sea bed and 115 m (380 ft) below sea level. At 37.9 kilometres (23.5 mi), the tunnel has the longest undersea portion of any tunnel in the world, although the Seikan Tunnel in Japan is both longer overall at 53.85 kilometres (33.46 mi) and deeper at 240 metres (790 ft) below sea level. The speed limit for trains in the tunnel is 160 kilometres per hour (99 mph).",2351,1
is there a movie after meet the fockers,"Meet the Parents (film series) -- Meet the Parents is a film series following the character Greg Focker (Ben Stiller) as he interacts with his family and in-laws. The series is made up of three movies: Meet the Parents (2000), Meet the Fockers (2004), and Little Fockers (2010). The series primarily stars Stiller, Robert De Niro, Blythe Danner, Dustin Hoffman, Barbra Streisand, Owen Wilson, and Teri Polo. The three movies earned over $1.15 billion at the box office.",1811,1
have the bengals ever been to the superbowl,"Cincinnati Bengals -- The Bengals are one of the 12 NFL teams to not have won a Super Bowl as of the 2017 season; however, they are also one of 8 NFL teams that have been to at least one Super Bowl, but have not won the game.",2839,1
was big time rush a band before the show,"Big Time Rush (band) -- Nickelodeon signed Big Time Rush to a record deal in 2009 simultaneously with the television series, Big Time Rush. Then, Nickelodeon partnered with Columbia/Epic Label Group to produce the show and include the original music to the show. For the series, their debut single, ``Big Time Rush'', was released on November 29, 2009. Officially announced by Nickelodeon, the series was first broadcast in the U.S. in November 2009, until it was eventually released worldwide. It debuted during a one-hour special preview of the series and it is currently the show's opening theme. The series also saw the releases of other singles including ``City is Ours'' and ``Any Kind of Guy''. Big Time Rush also covered a Play song titled ``Famous''. The song was released on iTunes on June 29, 2010. Another song, ``Halfway There'', was released to iTunes on April 27, 2010, after its premiere on the series. The single soon became their first single to chart on the Billboard Hot 100, peaking at number 93 due to digital sales.",1093,0
can an organism be in more than one trophic level,"Trophic level -- Food webs largely define ecosystems, and the trophic levels define the position of organisms within the webs. But these trophic levels are not always simple integers, because organisms often feed at more than one trophic level. For example, some carnivores also eat plants, and some plants are carnivores. A large carnivore may eat both smaller carnivores and herbivores; the bobcat eats rabbits, but the mountain lion eats both bobcats and rabbits. Animals can also eat each other; the bullfrog eats crayfish and crayfish eat young bullfrogs. The feeding habits of a juvenile animal, and, as a consequence, its trophic level, can change as it grows up.",2759,1
was the movie heat based on a book,"Heat (1995 film) -- Heat is a 1995 American crime film written, co-produced and directed by Michael Mann, and starring Robert De Niro, Al Pacino, and Val Kilmer. De Niro plays Neil McCauley, a professional thief, while Pacino plays Lt. Vincent Hanna, a LAPD robbery-homicide detective tracking down McCauley's crew. The story is based on the former Chicago police officer Chuck Adamson's pursuit during the 1960s of a criminal named McCauley, after whom De Niro's character is named. Heat is a remake by Mann of an unproduced television series he had worked on, the pilot of which was released as the TV movie L.A. Takedown in 1989.",567,0
does german potato salad have eggs in it,"Potato salad -- German potato salad, or ``Kartoffelsalat'' is served warm or cold and prepared with potatoes, bacon, vinegar, salt, pepper, vegetable oil, mustard, vegetable or beef broth, and onions. This style of potato salad is usually found in Southern Germany. Potato salad from northern Germany is generally made with mayonnaise and quite similar to its U.S. counterpart.",1403,0
