label,title,content
5,Meko 360, The MEKO 360 is a class of five destroyers built in Germany for the Argentine and Nigerian Navies. The 360 was the first ship of the MEKO family of vessels built by Blohm und Voss.
11,A Night at Birdland Vol. 2, A Night at Birdland Vol. 2 is a 1954 release by jazz drummer Art Blakey. It was first released by Blue Note Records as BLP 5038 (10) and two years later as BLP 1521 (12) incorporating material from the third 10 release.
2,Primo Levi, Primo Michele Levi (Italian: [ˈpriːmo ˈlɛːvi]; 31 July 1919 – 11 April 1987) was an Italian Jewish chemist and writer. He was the author of several books novels collections of short stories essays and poems.
12,Sherlock Holmes (1922 film), Sherlock Holmes (released as Moriarty in the UK) is a 1922 American silent mystery drama film starring John Barrymore as Sherlock Holmes and Roland Young as Dr. John Watson.The movie which features the screen debuts of both William Powell (credited as William H.
0,Lightworkers Media, Lightworkers Media is an American Christian film and television production company owned by Mark Burnett and Roma Downey. It is responsible for the The Bible on the History channel.
10,Dendrobium amboinense, Dendrobium amboinense is a species of orchid.
2,Fumi Yoshinaga, Fumi Yoshinaga (よしなが ふみ Yoshinaga Fumi born 1971) is a Japanese manga artist known for her shōjo and shōnen-ai works.
2,Lynda Laurence, Lynda Laurence (also spelled Lawrence born Lynda Tucker February 20 1949 Philadelphia Pennsylvania) is an American singer. She is best known for being a part of two Motown acts: Stevie Wonder's backup group The Third Generation and one of the post-Diana Ross continuation groups of The Supremes. She is the youngest daughter of Louise Tucker and Ira Tucker gospel songwriter producer and lead singer of The Dixie Hummingbirds and sister of Sundray Tucker and Ira Tucker Jr.
4,Marcel Black, Marcel Black (born 25 March 1951) is an American Democratic Party politician who since 1990 has been a Member of the Alabama House of Representatives. He currently represents the 3rd district taking in Colbert County.Outside of politics he is an attorney with the company Black and Hughston P.C.He is the Ranking Minority Member on the Financial Services Committee and the Education Policy Committee.
4,Chuck Page, Chuck Page is an American politician from California serving on the Saratoga City Council. Page was elected in 2006 and re-elected in 2010. He served as vice-mayor in 2008 and 2011 and mayor in 2009 and 2012. Page also served on the Valley Transportation Authority (VTA) board of directors from December 2009-December 2011. In 2013 he is serving as the Chairman of the League of California Cities Environmental Policy Committee a committee on which he has served since 2007.
9,Spot-winged Parrotlet, The Spot-winged Parrotlet (Touit stictopterus) is a species of parrot in the Psittacidae family.It is found in Colombia Ecuador and Peru.Its natural habitats are subtropical or tropical dry forests and subtropical or tropical moist montane forests.It is threatened by habitat loss.
11,...In Your Eyes, ...In Your Eyes is Mary MacGregor's second album. It is out of print and has never been issued on CD.
3,Xu Jiankun, Xu Jiankun (Chinese: 徐健焜; pinyin: Xú Jiànkūn; born October 8 1986 in Changchun Jilin) is a Chinese pair skater. The two are the 2006 Chinese national bronze medalists. They placed seventh at the 2006 Four Continents Championships.
1,Emerging Pathogens Institute, The Emerging Pathogens Institute is an interdisciplinary research institution associated with the University of Florida. The Institute is charged with fusing key disciplines to develop outreach education and research capabilities designed to preserve the region's health and economy and to prevent or contain new and re-emerging diseases.
4,Alfred Mond 1st Baron Melchett, Alfred Moritz Mond 1st Baron Melchett PC FRS (23 October 1868–27 December 1930) known as Sir Alfred Mond Bt between 1910 and 1928 was a British industrialist financier and politician. In his later life he became an active Zionist.
8,Górczyn West Pomeranian Voivodeship, Górczyn [ˈɡurt͡ʂɨn] is a village in the administrative district of Gmina Trzcińsko-Zdrój within Gryfino County West Pomeranian Voivodeship in north-western Poland. It lies approximately 6 kilometres (4 mi) south-west of Trzcińsko-Zdrój 37 km (23 mi) south of Gryfino and 55 km (34 mi) south of the regional capital Szczecin.Before 1945 the area was part of Germany. For the history of the region see History of Pomerania.
8,Wygorzele Greater Poland Voivodeship, Wygorzele [vɨɡɔˈʐɛlɛ] is a village in the administrative district of Gmina Wilczyn within Konin County Greater Poland Voivodeship in west-central Poland.
1,Baltimore New Era Academy, New Era Academy is an innovation high school serving grades 9 through 12 located in the Cherry Hill neighborhood of South Baltimore Maryland. It is operated as an innovation high school by Replications Inc. for the Baltimore City Public School System. The school was changed to a transformation school for 2010-2011 school year serving grades 6-7/9-12.The school opened in 2003 serving students citywide. It is expected to have about 400 students at full capacity.
1,Corpus Christi College Cambridge, Corpus Christi College (full name: The College of Corpus Christi and the Blessed Virgin Mary often shortened to Corpus or previously The Body) is a constituent college of the University of Cambridge. It is notable as the only college founded by Cambridge townspeople: it was established in 1352 by the Guilds of Corpus Christi and the Blessed Virgin Mary making it the sixth-oldest college in Cambridge.
0,Accessible Media, Accessible Media Inc. (AMI) is a Canadian non-profit media organization. AMI specializes in media for the blind visually impaired deaf and hearing impaired.
6,School No. 7 (Dunkirk New York), School No. 7 is a historic school building located at Dunkirk in Chautauqua County New York. It is significant as a one-story school building of the early 20th century. It was designed about 1916-1919 and built about 1920-1921.It was listed on the National Register of Historic Places in 1992.
4,Joseph Muscat, Joseph Muscat (born 22 January 1974) is a Maltese politician who has been Prime Minister of Malta since 2013. Muscat has been leader of the Labour Party since 6 June 2008 and he was Leader of the Opposition from 1 October 2008 to 10 March 2013. Previously he was a Member of the European Parliament from 2004 to 2008.After the Labour Party's victory in the March 2013 general election Muscat took office as Prime Minister on 11 March 2013.
6,House at 318-332 Marquette Street, The House at 318-332 Marquette Street is located in the West End of Davenport Iowa United States. The multiple-dwelling residence building has been listed on the National Register of Historic Places since 1983.
10,Heliamphora sp. 'Angasima Tepui', Heliamphora sp. 'Angasima Tepui' is an undescribed taxon of marsh pitcher plant known only from the summit of Angasima Tepui in Venezuela where it grows at elevations of 2200–2250 m. It resembles H. heterodoxa in many respects but has a smaller nectar spoon numerous nectar glands on the outer pitcher surface and forms large clumps up to 1.5 m across.
7,Quinapoxet River, The Quinapoxet River is part of the Nashua River watershed in northern Massachusetts in the United States. It is part of the Massachusetts Water Resources Authority water system supplying drinking water to the greater Boston area.The uppermost tributaries of the Quinapoxet River rise in the town of Princeton Massachusetts the watershed generally known as the Upper Worcester Plateau or the Monadnock Upland. This watershed tops at Wachusett Mountain the highest feature in the area.
12,Crook's Tour, Crook's Tour is a 1941 British film directed by John Baxter featuring Charters and Caldicott. It is adapted from a BBC radio serials of the same name.
2,Kanako Mitsuhashi, Kanako Mitsuhashi (三橋 加奈子 Mitsuhashi Kanako January 10 1978) is a Japanese voice actress from the Hodogaya-ku ward of Yokohama Japan. Mitsuhashi is probably most known for her roles as Killua Zoldyck from Hunter × Hunter Rico from Gunslinger Girl and Suzuka Asahina from Suzuka. She was married to fellow voice actor Kōji Yusa but recently got divorced.
13,The Death and Life of Charlie St. Cloud, The Death and Life of Charlie St. Cloud is a 2004 novel by Ben Sherwood. It is a fictional fable about an extraordinary experience of a man called Charlie St. Cloud who is resuscitated following a car accident that kills his brother.
7,Lac d'Avoriaz, Lac d'Avoriaz is a lake in Haute-Savoie France.
6,East Hills Mall, East Hills Mall is an enclosed shopping mall in St. Joseph Missouri US. Opened in 1965 the mall features J.C. Penney Dillard's Gordmans and Sears as its anchor stores.
4,Pat McElraft, Patricia Earlene (Pat) McElraft (born March 20 1947) is a Republican representative for the 13th district in the North Carolina House of Representatives representing all of Carteret and Jones Counties. She is currently one of the Deputy Majority Whips.McElraft and her husband retired Colonel Roger McElraft live in Emerald Isle North Carolina and have two grown children. She a Technical Sales Representative for Microbiology Product Company.
5,USS Gamma (1863), USS Gamma (1863) was a small steamer acquired by the Union Navy during close of the American Civil War. She was employed by the Navy as a tugboat and since she carried a spar torpedo as a torpedo boat capable of ramming and sinking another ship with her explosive torpedo.
3,Ivan Reali, Ivan Reali (born 2 January 1991) is an Italian footballer who plays for Ascoli.
12,Last Days in the Desert, Last Days in the Desert is an upcoming American drama film directed and written by Rodrigo García. The film stars Ewan McGregor and Tye Sheridan.
9,Glabella tyermani, Glabella tyermani is a species of sea snail a marine gastropod mollusk in the family Marginellidae the margin snails.
9,Calamistis, Calamistis is a genus of moths of the Noctuidae family.
3,Poch Juinio, Edward Poch Juinio (born May 23 1973) is a former Filipino Professional basketball player of the Philippine Basketball Association.
5,SET XV, The SET XV was a fighter aircraft developed in Romania in the mid-1930s. It was a conventional single-bay biplane with staggered wings of unequal span braced by N-struts. It was fitted with fixed tailwheel undercarriage with spatted mainwheels. The cockpit was fully enclosed and the engine was fitted with a NACA cowl. Construction throughout was fabric-covered metal. The SET XV was developed to compete for a Romanian Air Force contract for a new fighter.
7,Trivor, Trivor is one of the high peaks of the Hispar Muztagh a subrange of the Karakoram range in the Gilgit-Baltistan of Pakistan. Its height is often given as 7728 metres but this elevation is not consistent with photographic evidence. The height given here is from a Russian 1:100000 topographic map.There have been only two successful climbs of this peak; the first ascent was in 1960 by a British-American party.
11,Key Lime Pie (album), Key Lime Pie is a 1989 album by Camper Van Beethoven (CVB). It was the band's final album before breaking up in 1990 although the band has reunited and released new material in recent years. It was produced by Dennis Herring who had also produced the band's previous album Our Beloved Revolutionary Sweetheart.
11,Hail! Hail! Rock 'n' Roll (album), Hail! Hail! Rock 'n' Roll is a Chuck Berry album and soundtrack to the film of the same name which was released in 1987 under record label MCA. The album was recorded live at The Fox Theatre St Louis Missouri and Berry Park Wentzville Missouri on October 6 and October 16 1986. The event was held to celebrate Chuck Berry's 60th birthday and it included several special guests.
7,Columbia Point, Columbia Point is a 13980-foot (4261 m) subpeak of Kit Carson Peak in the Sangre de Cristo Mountains southern Colorado USA. It was known informally as Kat Carson but was officially named Columbia Point in 2003 to honor the seven astronauts who died when the Space Shuttle Columbia disintegrated during re-entry on February 1 2003. With a topographic prominence over 300 ft (91 m) it qualifies as a separate summit under the standard cutoff but it is not a well-known peak.
1,Christian Academy of Knoxville, Christian Academy of Knoxville (CAK) is a non-denominational Christian school located in Knoxville Tennessee. The coeducational day school enrolls nearly 1200 students in grades PreK-12.CAK lies on 77 acres in West Knoxville. The campus includes four buildings: an elementary school middle school high school and an administrative/athletic complex known as the Campus Center.
11,Osveta Crnog Gonzalesa, Osveta Crnog Gonzalesa is the fourh album by the Serbian punk rock band Atheist Rap released by Multimedia Records in 2005.
9,Hypselostoma perigyra, Hypselostoma perigyra is a species of very small air-breathing land snail a terrestrial pulmonate gastropod mollusk in the family Vertiginidae the whorl snails.
13,Ii Hito, Good Person. (いいひと。 Ii Hito.) is a Japanese manga by Shin Takahashi published by Shogakukan in the magazine Big Comic Spirits. The series was collected in 26 volumes. It was also adapted as an 11-episode television drama.
1,Master of Science in Management, Master of Science in Management abbreviated MSc MIM or MSM is a Master of Science academic degree that is common throughout Europe and increasingly also in North America and Asia. In terms of content it is similar to the MBA degree as it contains general management courses.
2,Trevor Martin, Trevor Martin is a British stage and film actor known for playing popular British characters including Doctor Who and Sherlock Holmes.
0,Spancrete, Spancrete is an American manufacturer of precast concrete products and machinery. Spancrete produces precast prestressed concrete products that are used in commercial industrial institutional residential and multifamily construction projects in the Midwest and Southeast. The company also manufactures and sells hollowcore extrusion machines that are used to produce precast concrete internationally.
10,Key lime, The Key lime (Citrus × aurantiifolia) is a citrus species with a globose fruit 2.5–5 cm in diameter (1–2 in) that is yellow when ripe but usually picked green commercially. It is smaller and seedier with a higher acidity a stronger aroma and a thinner rind than that of the Persian lime (Citrus × latifolia). It is valued for its unique flavor compared to other limes with the Key lime usually having a more tart and bitter flavor.
13,The Tiger That Isn't, The Tiger That Isn't is a statistics book written by Michael Blastland and Andrew Dilnot the creator and presenter of BBC Radio 4's More or Less.The book has received favourable reviews for the simple presentation of complicated ideas.
8,Obetz Ohio, Obetz is a village in Franklin County Ohio United States. The population was 4532 at the 2010 census. The community (originally Obetz Junction in honor of settler Charles Obetz) was formed in 1838 as a stagecoach junction and incorporated in 1928. Nearby Reese Station served as the railroad station for the immediate area while other adjacent communities such as Groveport Lockbourne and Canal Winchester were part of the Ohio and Erie Canal canal and lock system.
6,Sweet Chalybeate Springs, Sweet Chalybeate Springs also known as the Red Sweet Springs Sweet Chalybeate Hotel and Sweet Chalybeate Springs Lodge is a historic resort hotel complex located at Sweet Chalybeate Alleghany County Virginia. It dates to the 1850s and consists of a main building guest ranges and cottages all fronted with two-level porches. There are a total of eight contributing buildings and one contributing structure.
10,Rosa 'Violet Carson', Violet Carson is a rose cultivar an uncommon hybrid of the 'Mme Léon Cuny' and 'Spartan' varieties created by McGredy between 1963 and 1964. It was named after Violet Carson the actress who played Ena Sharples in Coronation Street the British soap opera.
1,Penn State Schuylkill, Penn State Schuylkill is a Commonwealth Campus of the Pennsylvania State University. It is located in Schuylkill Haven Schuylkill County Pennsylvania.The Schuylkill Campus was originally chartered in 1934 and was located in Pottsville approximately 6 miles (10 km) north of the current campus. Classes were originally held in rented spaced and laboratory facilities for science students were shared with an area high school.
10,Cassine laneana, Cassine laneana commonly known as the Bermuda Olivewood is a species of large tree in the staff vine family Celastraceae that is endemic to the islands of Bermuda. Although once found in the extensive subtropical coniferous forests that covered the islands it is currently restricted to small protected areas such as Spittal Pond. C. laneana can grow anywhere from 25 to 40 feet tall with 1 - 2.5 inch long and 0.5 to 1.5 inch wide leaves.
10,Lockhartia imbricata, Lockhartia imbricata is a species of orchid found from Trinidad to tropical South America It is an epiphytic species growing in humid forests.
1,St. Paul's Convent English Higher Secondary School, St. Paul's Convent English Higher Secondary School is a private Christian school run by CMC Sisters of Nirmala Province Thrissur located in Kuriachira Thrissur. The school was founded in 1964 with less than 100 students and now grown to higher secondary school with more than 2800 on its roll students.
9,Oxyacodon, Oxyacodon is an extinct genus of condylarth of the family Periptychidae endemic to North America during the Early Paleocene living from 66—63.3 mya existing for approximately 2.7 million years.
11,It's Still Living, It's Still Living is a live album by The Birthday Party recorded at The Astor Theatre in St Kilda Victoria on 15 January 1982 and released in May 1985. The initial LP release in 1985 by the band's former manager and backer Keith Glass on his Missing Link label was not sanctioned by the band. The sound quality of the recording is poor and it is marred by technical glitches (mainly the sounds of the amps crackling and shorting out.
4,Thomas Mathews (politician), Thomas Mathews (1742–1812) was an American Revolutionary War general and Virginia politician. He represented Norfolk Borough in the Virginia House of Delegates and served as that body's Speaker from 1782 until 1793.Thomas Mathews was born c. 1742 on Saint Kitts an island of the West Indies. He was appointed brigadier general in the Virginia militia in 1776 and led a company to the Battle of Great Bridge and later to the Battle of Yorktown.
4,Bart Hester, Bart Franklin Hester (born December 1977) is a real estate businessman in Bentonville Arkansas who is a Republican member of the Arkansas State Senate from District 1 which includes Benton County.
5,Heinkel HD 37, The Heinkel HD 37 was a fighter aircraft designed in Germany in the late 1920s but produced in the USSR for Soviet Air Force service. It was a compact single-bay biplane with staggered wings of unequal span braced by N-type interplane struts. The pilot sat in an open cockpit and the main units of the tailskid undercarriage were linked by a cross-axle.
3,Mary Webb (cricketer), Mary Webb is a former New Zealand cricketer. She played in four Test matches between 1957 and 1961.
6,North General Hospital, The North General Hospital was an American hospital located in the Harlem neighborhood of Manhattan a borough of New York City New York.
5,De Tomaso Longchamp, The De Tomaso Longchamp is an automobile which was produced by the Italian automaker De Tomaso from 1972 to 1989.
9,Kumococius rodericensis, Kumococius rodericensis the Spiny flathes is a species of flathead native to the Indian Ocean and the tropical western Pacific Ocean where it can be found on sandy or muddy bottoms of the continental shelf at depths of from 6 to 75 metres (20 to 246 ft). This species grows to a length of 25 centimetres (9.8 in) TL and is of minor importance to local commercial fisheries. This species is the only known member of its genus.
3,Alexei Koznev, Alexei Koznev (born October 3 1975) is a Russian professional ice hockey Forward who currently plays for Vityaz Chekhov of the Kontinental Hockey League (KHL).
13,O Jerusalem (novel), O Jerusalem is the fifth book in the Mary Russell series by Laurie R. King.Set during the voyage of Mary Russell and Sherlock Holmes to the Holy Land the action of this novel takes place chronologically during the action of The Beekeeper's Apprentice. In Palestine Mary and Sherlock meet up with Mahmoud and Ali Hazr two apparently Bedouin guides to counter a plot against the British in Jerusalem under General Edmund Allenby.
3,Henning Wind, Henning Wind (born 1937) is a Danish competitive sailor and Olympic medalist. He won a bronze medal in the Finn class at the 1964 Summer Olympics in Tokyo.
2,Chris McLernon, Chris McLernon is the current bassist of the band Saigon Kick.
10,Erythrophysa transvaalensis, Erythrophysa transvaalensis (Bushveld red balloon Afrikaans: Bosveld-rooiklapperbos Tswana: Mofalatsane) is a protected tree in South Africa. is a species of plant in the Sapindaceae family. It is found in Botswana South Africa and Zimbabwe.
7,South Yuba River, The South Yuba River is a 65.0-mile-long (104.6 km) left-entering tributary of the Yuba River in the Sierra Nevada (U.S.) that repeatedly crosses Interstate 80 in California.
0,Villain Entertainment, Villain Entertainment is a record label founded by gangsta rapper MC Ren in MC Ren's hometown of Compton California in 2004. The label's focus is gangsta rap genre of West Coast hip hop.
4,Norman Wagner, Norman Ernest Wagner OC (March 29 1935 – December 10 2004) was a Canadian archeologist professor and University president.Born in Edenwold Saskatchewan Wagner received a Bachelor of Arts and Master of Divinities from the University of Saskatchewan in 1958 a Master of Arts in 1960 and Ph.D. in Near Eastern Studies in 1965 from the University of Toronto.
13,From This Wicked Patch of Dust, From This Wicked Patch of Dust is a novel by Sergio Troncoso first published in 2011 by The University of Arizona Press. It explores the struggle of a Mexican-American family to become American and yet not be pulled apart by a maelstrom of cultural forces.
6,Lady of Most Holy Rosary Parish Church, The 1940 Our Lady of Most Holy Rosary Parish Church (Nuestra Señora del Santísimo Rosario in Spanish) commonly known as Makinabang Church or Bisitang Pula is a Roman Catholic Marian church in Barangay Makinabang Baliuag Bulacan Philippines. It is one of the four Roman Catholic Parish churches in the Municipality and is the focus of one of the largest processions in the Town each year on October 7. The other nearby Baliuag parishes which bound the Church are: the 1733 St.
1,St Cyres School, St Cyres School is a co-educational foundation status comprehensive school and Sixth form college located in Penarth Vale of Glamorgan Wales 5.2 miles (8.4 kilometres) south west from the Welsh capital city of Cardiff. The school has produced several notable International sportsmen and sportswomen.
11,Bien Acompanado, Bien Acompañado is the fourth album by Mexican singer Reyli released in 2011.
8,Pitawala, Pitawala is a village in Sri Lanka. It is located within Central Province.
3,Joe Moran (hurler), Joe Moran (born 1987 in Carrigaline County Cork) is an Irish inter-county hurler. At club level he plays with Carrigaline and at county level he plays with the Cork senior team.Moran played at underage level for Cork and played with Cork in the 2006 All-Ireland Minor Hurling Championship winning the Munster championship.In 2008 he was a key player for Carrigaline as they won the Cork Intermediate Hurling Championship being described as the team defence's bedrock.
4,David J. Porter, David Jerome Porter (born April 21 1956) is a Certified Public Accountant and one of three members of the elected Texas Railroad Commission. Formerly in a private CPA practice in Midland in Midland County Porter since relocated to Giddings in Lee County Texas.
12,The Law of the Border, The Law of the Border (Turkish: Hudutların Kanunu) is a 1966 Turkish drama film written by Yılmaz Güney and directed by Ömer Lütfi Akad.RestorationThe film was restored in 2011 by the World Cinema Foundation at Cineteca di Bologna/L’Immagine Ritrovata Laboratory. Unfortunately only one copy of the film survived the 1980 Turkish coup d'état lead by Chief of the General StaffGeneral Kenan Evren all other copies were seized and destroyed.
3,Shannon May, Shannon May (born 9 June 1991) is an Australian football (soccer) player currently playing for Australian W-League team Perth Glory. In December 2009 Shannon was awarded Perth Glory's Most Glorious Player award - an award presented to the team's best player each season. May also plays for local side Beckenham Angels SC in the Bank West Women's state League.
13,Where They Were Missed, Where They Were Missed is the debut novel from Northern Irish author Lucy Caldwell (though she had previously written plays). It was shortlisted for the inaugural Dylan Thomas Prize and the Waverton Good Read Award. It was named by The Guardian's Glenn Patterson as one of the 'top 10 Belfast books'.
7,Wieseth (river), Wieseth is a river of Bavaria Germany.
13,Journal of Medical Genetics, The Journal of Medical Genetics is a peer-reviewed medical journal focusing on human genetics. It was established in September 1964 and is published by the BMJ Group. The editor-in-chief is Constantin Polychronakos (McGill University Health Centre).
8,Mowtowr-e Daktar Lotfa, Mowtowr-e Daktar Lotfa (Persian: موتوردكترلطفي‎ also Romanized as Mowtowr-e Daktar Loṭfá) is a village in Jahadabad Rural District in the Central District of Anbarabad County Kerman Province Iran. At the 2006 census its population was 67 in 14 families.
9,Bucculatrix ruficoma, Bucculatrix ruficoma is a moth in the Bucculatricidae family. It is found in Uganda.The larvae feed on Ipomoea batatas.
10,Convolvulaceae, Convolvulaceae known commonly as the bindweed or morning glory family is a family of about 60 genera and more than 1650 species of mostly herbaceous vines but also trees shrubs and herbs.
10,Rhamnella, Rhamnella is a genus of plant in the family Rhamnaceae. Species include:Rhamnella caudata Merr. & Chun Rhamnella forrestii W.W. Sm. Rhamnella franguloides (Maxim.) Weberb. Rhamnella gilgitica Mansf. & Melch. Rhamnella julianae C.K. Schneid. Rhamnella martinii (H. Lév.) C.K. Schneid. Rhamnella rubrinervis (H. Lév.) Rehder Rhamnella wilsonii C.K. Schneid.↑ ↑
9,Toothed river herring, The toothed river herring or Papuan river sprat (Clupeoides papuensis) is a species of fish in the Clupeidae family. It is found in West Papua in Indonesia and Papua New Guinea.
8,Vathikudy, Vathikudy is a village in Idukki district in the Indian state of Kerala.
4,William J. Duane, William John Duane (May 9 1780 – September 27 1865) was an Irish born American politician and lawyer from Pennsylvania.Born in Clonmel County Tipperary Ireland Duane emigrated to the United States with his parents William Duane and Catherine Corcoran in 1796 settling in Philadelphia. He assisted his father in publishing the Aurora a Philadelphia newspaper until 1806.
1,Manchester Central High School, Manchester High School Central is the oldest public high school in the state of New Hampshire. Located in the heart of Manchester New Hampshire over 2400 students attend from communities such as Candia Hooksett and Manchester. The name was changed from Manchester High School in 1922 when Manchester West High School opened.
5,Maico Mobil, The Maico Mobil is an early touring motorcycle made by Maico between 1950 and 1958. Conceived and marketed as a “car on two wheels” the Mobil had body panels that enclosed the drivetrain protected its riders from the elements and included an integral pair of panniers and a mount for a spare tyre.
8,Bozoljin, Bozoljin is a village in the municipality of Brus Serbia. According to the 2002 census the village has a population of 129 people.
12,The County Fair (1920 film), The County Fair is a 1920 American film directed by Edmund Mortimer and Maurice Tourneur.
6,Erfurt Synagogue, The Erfurt Synagogue in Erfurt Germany was built c. 1100. It is thought to be the oldest synagogue building still standing in Europe. It is used as a museum and permanently houses the Erfurt Treasure.
1,Akita International University, Akita International University (国際教養大学 Kokusai Kyōyō Daigaku) or AIU is a public university located in Akita City Akita Prefecture Japan. Established in 2004 and modeled on American liberal arts colleges AIU is one of the few universities in Japan offering all of its courses in English.
